"question_url","question_id","topic_name","question_name","level","platform"
"https://leetcode.com/problems/find-median-from-data-stream/","00beffb4249b11eea00ec590000439d6","heap","Find Median from Data Stream","hard","leetcode"
"https://leetcode.com/problems/remove-nth-node-from-end-of-list/","025464fc249811eea00ec590000439d6","linkedlist","Remove Nth Node From End of List","medium","leetcode"
"https://leetcode.com/problems/decode-ways/","03f6b868249e11eea00ec590000439d6","dp-1","Decode Ways","medium","leetcode"
"https://leetcode.com/problems/arranging-coins/","0660b9d01e2411eea23ee74466e6c372","binarySearch","Arranging Coins","easy","leetcode"
"https://leetcode.com/problems/swapping-nodes-in-a-linked-list/?envType=list&envId=9y4zmb5i","06d22c34164811eea88ae3300d621ca4","twoPointers","Swapping Nodes in a Linked List","medium","leetcode"
"https://leetcode.com/problems/longest-common-prefix/?envType=list&envId=efdk2wsi","072e0b1e199811eea88ae3300d621ca4","strings","Longest Common Prefix","easy","leetcode"
"https://leetcode.com/problems/shortest-unsorted-continuous-subarray/","0759382e199911eea88ae3300d621ca4","twoPointers","Shortest Unsorted Continuous Subarray","medium","leetcode"
"https://leetcode.com/problems/product-of-array-except-self/","086121f21cc611eea5719f9e1997d77b","arrays","Product of Array Except Self","medium","leetcode"
"https://leetcode.com/problems/best-team-with-no-conflicts/","0b854fb2249f11eea00ec590000439d6","dp-1","Best Team With No Conflicts","medium","leetcode"
"https://leetcode.com/problems/last-stone-weight/","0d578f1c249a11eea00ec590000439d6","heap","Last Stone Weight","easy","leetcode"
"https://leetcode.com/problems/jewels-and-stones/","0dc74f401ccb11eea5719f9e1997d77b","strings","Jewels and Stones","easy","leetcode"
"https://leetcode.com/problems/best-time-to-buy-and-sell-stock/","0f12caf62daf11eebaa9d7ff29a6ffc0","slidingWindow","Best Time to Buy and Sell Stock","easy","leetcode"
"https://leetcode.com/problems/symmetric-tree/","104ce55624a311eea00ec590000439d6","tree-2","Symmetric Tree","easy","leetcode"
"https://leetcode.com/problems/merge-sorted-array/","104de48e1cc811eea5719f9e1997d77b","twoPointers","Merge Sorted Array","easy","leetcode"
"https://leetcode.com/problems/repeated-string-match/","107861821dbd11eea5719f9e1997d77b","strings","Repeated String Match","medium","leetcode"
"https://leetcode.com/problems/linked-list-cycle/","10ea91a8249811eea00ec590000439d6","linkedlist","Linked List Cycle","easy","leetcode"
"https://leetcode.com/problems/target-sum/","1132d1d624a011eea00ec590000439d6","dp-2","Target Sum","medium","leetcode"
